Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Eritrea,-3.1,8.8,3.0,-2.7,1.5,2.6,-1.0,1.4,-9.8,3.9,,2.2,8.7,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,10.1,6.0,6.8,7.6,6.8,9.5,9.8,7.6,-5.1,-14.6,,2.4,7.3,3.2,1.5,3.0,1.9,3.2,5.8,3.8,3.7,-0.6,8.0,-1.3,..
Ethiopia,6.1,8.3,1.5,-2.2,13.6,11.8,10.8,11.5,10.8,8.8,,12.6,11.2,8.6,10.6,10.3,10.4,9.4,9.6,6.8,8.4,6.1,5.6,5.3,..
Faroe Islands,..,..,..,..,..,..,..,..,..,-4.3,,-0.6,3.7,7.0,5.9,5.4,1.0,1.5,3.5,2.7,4.4,-1.9,5.8,5.4,..
Fiji,-1.7,2.0,3.2,1.0,5.3,0.7,1.9,-0.9,1.0,-1.4,,3.0,2.7,1.4,4.7,5.6,4.5,2.4,5.4,3.8,-0.6,-17.0,-4.9,20.0,..
Finland,5.8,2.6,1.7,2.0,4.0,2.8,4.0,5.3,0.8,-8.1,,3.2,2.5,-1.4,-0.9,-0.4,0.5,2.8,3.2,1.1,1.2,-2.4,2.8,1.6,..
France,3.9,2.0,1.1,0.8,2.8,1.7,2.4,2.4,0.3,-2.9,,1.9,2.2,0.3,0.6,1.0,1.1,1.1,2.3,1.9,1.8,-7.5,6.4,2.5,..
French Polynesia,3.2,-0.3,0.8,2.1,1.0,0.3,0.9,1.7,0.0,-4.2,,-2.5,-3.0,-0.9,0.4,0.6,1.7,2.4,4.4,1.8,2.7,-7.1,2.1,4.5,..
Gabon,-1.9,2.1,-0.2,2.2,0.7,2.7,-2.8,6.0,-3.3,0.1,,7.1,7.1,5.3,5.6,4.3,3.9,2.1,0.5,0.8,3.9,-1.8,1.5,2.9,..
"Gambia, The",5.5,5.8,-3.3,6.9,7.1,-2.4,-0.6,3.0,6.3,6.7,,5.9,-8.1,5.2,2.9,-1.4,4.1,1.9,4.8,7.2,6.2,0.6,4.3,4.3,..
